contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type
SPY240816C00474000,2024-07-26 14:44:11+00:00,474.0,70.9,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00475000,2024-07-30 18:55:10+00:00,475.0,68.05,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00476000,2024-07-29 16:43:52+00:00,476.0,72.03,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00477000,2024-07-19 20:02:32+00:00,477.0,74.65,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00478000,2024-07-24 15:53:15+00:00,478.0,69.28,0.0,0.0,0.0,0.0,56.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00479000,2024-07-25 19:47:06+00:00,479.0,63.85,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00480000,2024-07-30 13:30:04+00:00,480.0,68.13,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00481000,2024-07-24 17:01:41+00:00,481.0,65.5,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00482000,2024-07-25 17:23:47+00:00,482.0,65.47,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00483000,2024-07-29 18:27:42+00:00,483.0,63.9,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00484000,2024-07-30 19:17:18+00:00,484.0,59.19,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00485000,2024-07-30 17:01:05+00:00,485.0,55.75,0.0,0.0,0.0,0.0,11.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00486000,2024-07-24 19:49:47+00:00,486.0,58.6,0.0,0.0,0.0,0.0,14.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00487000,2024-07-30 19:17:18+00:00,487.0,56.18,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00488000,2024-07-25 13:56:05+00:00,488.0,55.34,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00489000,2024-07-29 13:45:43+00:00,489.0,59.3,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00490000,2024-07-30 20:01:52+00:00,490.0,51.27,0.0,0.0,0.0,0.0,310.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00491000,2024-07-29 15:11:13+00:00,491.0,54.59,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00492000,2024-07-26 20:12:28+00:00,492.0,54.6,0.0,0.0,0.0,0.0,11.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00493000,2024-07-24 13:34:27+00:00,493.0,57.69,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00494000,2024-07-18 19:36:09+00:00,494.0,60.8,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00495000,2024-07-30 15:42:14+00:00,495.0,47.89,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00496000,2024-07-24 13:34:40+00:00,496.0,54.68,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00497000,2024-07-29 15:38:47+00:00,497.0,48.57,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00498000,2024-07-30 17:29:55+00:00,498.0,44.64,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00499000,2024-07-30 18:26:22+00:00,499.0,45.14,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00500000,2024-07-30 20:04:40+00:00,500.0,40.78,0.0,0.0,0.0,0.0,122.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00501000,2024-07-18 18:52:02+00:00,501.0,54.07,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00502000,2024-07-29 16:25:56+00:00,502.0,46.06,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00503000,2024-07-23 13:34:43+00:00,503.0,54.2,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00504000,2024-07-08 14:04:53+00:00,504.0,55.73,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00505000,2024-07-30 18:49:30+00:00,505.0,38.27,0.0,0.0,0.0,0.0,50.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00506000,2024-07-30 17:32:05+00:00,506.0,36.74,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00507000,2024-07-19 18:43:44+00:00,507.0,44.79,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00508000,2024-07-30 19:50:07+00:00,508.0,37.57,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00509000,2024-07-15 19:33:33+00:00,509.0,56.48,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00510000,2024-07-30 17:00:12+00:00,510.0,31.67,0.0,0.0,0.0,0.0,17.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00511000,2024-07-26 19:51:19+00:00,511.0,35.6,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00512000,2024-07-26 16:42:27+00:00,512.0,36.68,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00513000,2024-07-30 19:58:07+00:00,513.0,32.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00514000,2024-07-17 16:14:00+00:00,514.0,46.88,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00515000,2024-07-30 19:19:25+00:00,515.0,29.38,0.0,0.0,0.0,0.0,137.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00516000,2024-07-25 18:02:22+00:00,516.0,31.77,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00517000,2024-07-25 14:30:56+00:00,517.0,27.89,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00518000,2024-07-30 17:47:21+00:00,518.0,26.46,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00519000,2024-07-30 18:46:54+00:00,519.0,25.76,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00520000,2024-07-30 20:01:58+00:00,520.0,22.5,0.0,0.0,0.0,0.0,95.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00521000,2024-07-25 17:04:01+00:00,521.0,29.71,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00522000,2024-07-29 15:51:42+00:00,522.0,26.46,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00523000,2024-07-30 19:57:16+00:00,523.0,23.26,0.0,0.0,0.0,0.0,24.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00524000,2024-07-30 15:50:57+00:00,524.0,20.79,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00525000,2024-07-30 20:00:37+00:00,525.0,20.9,0.0,0.0,0.0,0.0,268.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00526000,2024-07-30 16:56:36+00:00,526.0,18.01,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00527000,2024-07-30 16:57:14+00:00,527.0,17.28,0.0,0.0,0.0,0.0,18.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00528000,2024-07-30 17:46:29+00:00,528.0,17.98,0.0,0.0,0.0,0.0,162.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00529000,2024-07-30 18:50:39+00:00,529.0,16.94,0.0,0.0,0.0,0.0,234.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00530000,2024-07-30 20:03:55+00:00,530.0,13.99,0.0,0.0,0.0,0.0,2557.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00531000,2024-07-30 18:06:09+00:00,531.0,15.75,0.0,0.0,0.0,0.0,253.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00532000,2024-07-30 19:24:24+00:00,532.0,15.07,0.0,0.0,0.0,0.0,370.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00533000,2024-07-30 19:47:28+00:00,533.0,14.78,0.0,0.0,0.0,0.0,380.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00534000,2024-07-30 19:47:28+00:00,534.0,14.04,0.0,0.0,0.0,0.0,276.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00535000,2024-07-30 19:45:23+00:00,535.0,13.11,0.0,0.0,0.0,0.0,473.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00536000,2024-07-30 20:09:08+00:00,536.0,10.44,0.0,0.0,0.0,0.0,420.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00537000,2024-07-30 20:07:50+00:00,537.0,9.85,0.0,0.0,0.0,0.0,762.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00538000,2024-07-30 20:13:15+00:00,538.0,9.3,0.0,0.0,0.0,0.0,1267.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00539000,2024-07-30 20:08:20+00:00,539.0,8.71,0.0,0.0,0.0,0.0,1195.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00540000,2024-07-30 20:14:48+00:00,540.0,8.0,0.0,0.0,0.0,0.0,6650.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00541000,2024-07-30 20:09:08+00:00,541.0,7.53,0.0,0.0,0.0,0.0,2694.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00542000,2024-07-30 20:14:40+00:00,542.0,6.95,0.0,0.0,0.0,0.0,4065.0,0,1.0000000000000003e-05,False,REGULAR,USD,Call
SPY240816C00543000,2024-07-30 20:14:07+00:00,543.0,6.37,0.0,0.0,0.0,0.0,3352.0,0,0.00196310546875,False,REGULAR,USD,Call
SPY240816C00544000,2024-07-30 20:14:27+00:00,544.0,5.96,0.0,0.0,0.0,0.0,3432.0,0,0.0039162109375,False,REGULAR,USD,Call
SPY240816C00545000,2024-07-30 20:13:52+00:00,545.0,5.51,0.0,0.0,0.0,0.0,10630.0,0,0.007822421875,False,REGULAR,USD,Call
SPY240816C00546000,2024-07-30 20:13:55+00:00,546.0,5.0,0.0,0.0,0.0,0.0,3993.0,0,0.007822421875,False,REGULAR,USD,Call
SPY240816C00547000,2024-07-30 20:13:46+00:00,547.0,4.64,0.0,0.0,0.0,0.0,3302.0,0,0.007822421875,False,REGULAR,USD,Call
SPY240816C00548000,2024-07-30 20:13:20+00:00,548.0,4.23,0.0,0.0,0.0,0.0,3223.0,0,0.015634843750000002,False,REGULAR,USD,Call
SPY240816C00549000,2024-07-30 20:13:20+00:00,549.0,3.85,0.0,0.0,0.0,0.0,10623.0,0,0.015634843750000002,False,REGULAR,USD,Call
SPY240816C00550000,2024-07-30 20:14:52+00:00,550.0,3.47,0.0,0.0,0.0,0.0,6335.0,0,0.015634843750000002,False,REGULAR,USD,Call
SPY240816C00551000,2024-07-30 20:02:37+00:00,551.0,3.17,0.0,0.0,0.0,0.0,2301.0,0,0.015634843750000002,False,REGULAR,USD,Call
SPY240816C00552000,2024-07-30 20:14:51+00:00,552.0,2.79,0.0,0.0,0.0,0.0,3330.0,0,0.015634843750000002,False,REGULAR,USD,Call
SPY240816C00553000,2024-07-30 20:09:53+00:00,553.0,2.59,0.0,0.0,0.0,0.0,3660.0,0,0.015634843750000002,False,REGULAR,USD,Call
SPY240816C00554000,2024-07-30 20:02:25+00:00,554.0,2.26,0.0,0.0,0.0,0.0,10108.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00555000,2024-07-30 20:13:52+00:00,555.0,2.03,0.0,0.0,0.0,0.0,7814.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00556000,2024-07-30 20:09:56+00:00,556.0,1.84,0.0,0.0,0.0,0.0,2038.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00557000,2024-07-30 20:13:20+00:00,557.0,1.59,0.0,0.0,0.0,0.0,3420.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00558000,2024-07-30 20:13:20+00:00,558.0,1.4,0.0,0.0,0.0,0.0,3066.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00559000,2024-07-30 20:13:20+00:00,559.0,1.23,0.0,0.0,0.0,0.0,2513.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00560000,2024-07-30 20:14:48+00:00,560.0,1.08,0.0,0.0,0.0,0.0,6807.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00561000,2024-07-30 20:06:16+00:00,561.0,0.91,0.0,0.0,0.0,0.0,1803.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00562000,2024-07-30 20:09:53+00:00,562.0,0.84,0.0,0.0,0.0,0.0,3289.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00563000,2024-07-30 20:13:28+00:00,563.0,0.72,0.0,0.0,0.0,0.0,2104.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00564000,2024-07-30 20:11:34+00:00,564.0,0.61,0.0,0.0,0.0,0.0,1860.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00565000,2024-07-30 20:10:55+00:00,565.0,0.53,0.0,0.0,0.0,0.0,3206.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00566000,2024-07-30 20:11:04+00:00,566.0,0.47,0.0,0.0,0.0,0.0,1561.0,0,0.0312596875,False,REGULAR,USD,Call
SPY240816C00567000,2024-07-30 20:01:53+00:00,567.0,0.4,0.0,0.0,0.0,0.0,1222.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00568000,2024-07-30 20:11:54+00:00,568.0,0.35,0.0,0.0,0.0,0.0,1011.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00569000,2024-07-30 20:10:38+00:00,569.0,0.31,0.0,0.0,0.0,0.0,731.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00570000,2024-07-30 20:13:40+00:00,570.0,0.27,0.0,0.0,0.0,0.0,1505.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00571000,2024-07-30 20:02:03+00:00,571.0,0.21,0.0,0.0,0.0,0.0,566.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00572000,2024-07-30 20:02:03+00:00,572.0,0.17,0.0,0.0,0.0,0.0,384.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00573000,2024-07-30 20:01:09+00:00,573.0,0.2,0.0,0.0,0.0,0.0,96.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00574000,2024-07-30 19:15:58+00:00,574.0,0.19,0.0,0.0,0.0,0.0,229.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00575000,2024-07-30 20:02:03+00:00,575.0,0.13,0.0,0.0,0.0,0.0,849.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00576000,2024-07-30 20:10:58+00:00,576.0,0.13,0.0,0.0,0.0,0.0,25.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00577000,2024-07-30 19:50:35+00:00,577.0,0.15,0.0,0.0,0.0,0.0,50.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00580000,2024-07-30 20:08:04+00:00,580.0,0.08,0.0,0.0,0.0,0.0,677.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00585000,2024-07-30 20:01:02+00:00,585.0,0.05,0.0,0.0,0.0,0.0,634.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00590000,2024-07-30 20:01:02+00:00,590.0,0.03,0.0,0.0,0.0,0.0,324.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00595000,2024-07-30 20:01:26+00:00,595.0,0.02,0.0,0.0,0.0,0.0,253.0,0,0.062509375,False,REGULAR,USD,Call
SPY240816C00600000,2024-07-30 20:09:23+00:00,600.0,0.02,0.0,0.0,0.0,0.0,261.0,0,0.12500875,False,REGULAR,USD,Call
