contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Highlight,Std Deviation
SPY240731C00425000,2024-07-15 18:38:04+00:00,425.0,137.82,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00425000,2024-07-29 15:10:03+00:00,425.0,0.01,0.0,0.0,0.0,0.0,9.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00430000,2024-07-30 14:26:04+00:00,430.0,115.08,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00430000,2024-07-25 14:56:58+00:00,430.0,0.03,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00435000,2024-07-18 18:40:26+00:00,435.0,118.44,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00435000,2024-07-30 17:01:44+00:00,435.0,0.01,0.0,0.0,0.0,0.0,201.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00439000,2024-06-04 13:58:14+00:00,439.0,90.05,114.11,114.55,0.0,0.0,1.0,0,4.459965362548829,True,REGULAR,USD,,
SPY240731P00439000,2024-07-26 15:05:26+00:00,439.0,0.02,0.0,0.0,0.0,0.0,4443.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00440000,2024-07-30 17:03:55+00:00,440.0,98.68,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00440000,2024-07-26 14:46:00+00:00,440.0,0.01,0.0,0.0,0.0,0.0,3000.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00441000,2024-06-26 13:39:10+00:00,441.0,105.33,101.27,101.8,0.0,0.0,1.0,35,2.041997082519531,True,REGULAR,USD,,
SPY240731P00441000,2024-07-26 14:03:41+00:00,441.0,0.01,0.0,0.0,0.0,0.0,1901.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00442000,2024-05-06 15:38:55+00:00,442.0,77.48,94.74,95.33,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00442000,2024-07-26 14:25:45+00:00,442.0,0.01,0.0,0.0,0.0,0.0,8.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00443000,2024-07-30 14:08:59+00:00,443.0,0.01,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00443000,2024-07-30 19:50:17+00:00,443.0,100.42,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00444000,2024-07-24 19:20:26+00:00,444.0,0.06,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00444000,2024-07-24 14:21:52+00:00,444.0,102.38,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00445000,2024-07-22 17:34:24+00:00,445.0,0.03,0.0,0.0,0.0,0.0,3000.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00445000,2024-07-29 18:35:38+00:00,445.0,99.91,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00446000,2024-07-29 18:44:43+00:00,446.0,99.09,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00446000,2024-07-25 16:04:09+00:00,446.0,0.03,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00447000,2024-07-24 13:33:42+00:00,447.0,0.01,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00447000,2024-06-03 18:20:42+00:00,447.0,81.35,106.18,106.6,0.0,0.0,2.0,21,4.212895358886718,True,REGULAR,USD,,
SPY240731P00448000,2024-07-26 19:10:32+00:00,448.0,0.01,0.0,0.0,0.0,0.0,324.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00448000,2024-07-26 18:46:22+00:00,448.0,96.41,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00449000,2024-07-23 14:33:30+00:00,449.0,107.57,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00449000,2024-07-26 19:10:28+00:00,449.0,0.01,0.0,0.0,0.0,0.0,326.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00450000,2024-07-26 19:34:21+00:00,450.0,0.01,0.0,0.0,0.0,0.0,17.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00450000,2024-07-30 16:14:52+00:00,450.0,90.95,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00451000,2024-06-21 13:35:18+00:00,451.0,96.6,98.13,98.49,0.0,0.0,1.0,2,3.4726575683593754,True,REGULAR,USD,,
SPY240731P00451000,2024-07-26 19:33:19+00:00,451.0,0.01,0.0,0.0,0.0,0.0,14.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00452000,2024-07-26 16:56:17+00:00,452.0,0.01,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00452000,2024-07-30 17:01:05+00:00,452.0,86.91,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00453000,2024-07-26 16:52:32+00:00,453.0,0.01,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00453000,2024-07-16 19:56:31+00:00,453.0,113.06,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00454000,2024-07-18 15:12:59+00:00,454.0,102.49,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00454000,2024-07-25 18:42:57+00:00,454.0,0.03,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00455000,2024-07-30 16:44:03+00:00,455.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00455000,2024-07-30 14:39:52+00:00,455.0,89.55,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00456000,2024-07-25 13:44:50+00:00,456.0,0.05,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00456000,2024-06-18 18:42:24+00:00,456.0,93.43,97.41,97.87,0.0,0.0,1.0,18,3.9609375976562498,True,REGULAR,USD,,
SPY240731P00457000,2024-07-25 13:45:11+00:00,457.0,0.05,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00457000,2024-07-30 18:48:26+00:00,457.0,84.54,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00458000,2024-07-30 17:10:55+00:00,458.0,0.01,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00458000,2024-07-30 18:46:14+00:00,458.0,83.69,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00459000,2024-07-10 19:44:37+00:00,459.0,102.82,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00459000,2024-07-26 14:47:01+00:00,459.0,0.02,0.0,0.0,0.0,0.0,14.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00460000,2024-07-26 20:06:26+00:00,460.0,0.02,0.0,0.0,0.0,0.0,32.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00460000,2024-07-30 15:17:59+00:00,460.0,82.21,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00461000,2024-07-30 20:00:45+00:00,461.0,0.01,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00461000,2024-07-29 18:31:51+00:00,461.0,83.82,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00462000,2024-07-26 13:53:01+00:00,462.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00462000,2024-07-30 18:43:40+00:00,462.0,80.09,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00463000,2024-07-26 16:51:05+00:00,463.0,0.01,0.0,0.0,0.0,0.0,6.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00463000,2024-05-17 15:48:17+00:00,463.0,70.23,81.12,81.96,0.0,0.0,3.0,20,2.265141055908203,True,REGULAR,USD,,
SPY240731C00464000,2024-07-23 17:42:46+00:00,464.0,91.08,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00464000,2024-07-29 13:30:00+00:00,464.0,0.04,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00465000,2024-07-30 17:43:32+00:00,465.0,76.15,0.0,0.0,0.0,0.0,55.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00465000,2024-07-29 14:01:06+00:00,465.0,0.01,0.0,0.0,0.0,0.0,80.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00466000,2024-05-23 14:55:59+00:00,466.0,67.68,81.91,82.69,0.0,0.0,3.0,5,2.8840359930419917,True,REGULAR,USD,,
SPY240731P00466000,2024-07-26 19:13:06+00:00,466.0,0.02,0.0,0.0,0.0,0.0,44.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00467000,2024-07-25 14:46:24+00:00,467.0,75.14,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00467000,2024-07-26 16:13:16+00:00,467.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00468000,2024-07-24 16:52:23+00:00,468.0,0.07,0.0,0.0,0.0,0.0,8.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00468000,2024-07-30 18:41:20+00:00,468.0,74.15,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00469000,2024-07-29 19:50:45+00:00,469.0,0.01,0.0,0.0,0.0,0.0,105.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00469000,2024-07-12 20:04:47+00:00,469.0,92.08,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00470000,2024-07-30 17:09:31+00:00,470.0,69.81,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00470000,2024-07-29 19:51:03+00:00,470.0,0.01,0.0,0.0,0.0,0.0,104.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00471000,2024-05-31 18:42:00+00:00,471.0,54.47,76.34,76.98,0.0,0.0,1.0,2,2.6445346386718755,True,REGULAR,USD,,
SPY240731P00471000,2024-07-29 16:05:11+00:00,471.0,0.01,0.0,0.0,0.0,0.0,5.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00472000,2024-07-29 19:54:20+00:00,472.0,0.01,0.0,0.0,0.0,0.0,12.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00472000,2024-07-30 14:37:17+00:00,472.0,72.08,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00473000,2024-07-29 19:54:32+00:00,473.0,0.01,0.0,0.0,0.0,0.0,44.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00473000,2024-07-23 17:10:46+00:00,473.0,82.19,0.0,0.0,0.0,0.0,25.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00474000,2024-05-02 14:03:33+00:00,474.0,36.46,57.12,57.76,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00474000,2024-07-29 16:34:47+00:00,474.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00475000,2024-07-29 15:10:03+00:00,475.0,0.01,0.0,0.0,0.0,0.0,7.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00475000,2024-07-30 17:00:24+00:00,475.0,64.14,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00476000,2024-07-29 19:45:23+00:00,476.0,0.01,0.0,0.0,0.0,0.0,63.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00476000,2024-07-25 13:34:49+00:00,476.0,65.34,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00477000,2024-07-29 19:54:52+00:00,477.0,0.01,0.0,0.0,0.0,0.0,25.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00477000,2024-07-29 18:23:24+00:00,477.0,68.15,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00478000,2024-07-29 17:43:26+00:00,478.0,67.89,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00478000,2024-07-30 17:29:58+00:00,478.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00479000,2024-07-24 15:36:07+00:00,479.0,66.38,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00479000,2024-07-30 17:31:06+00:00,479.0,0.01,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00480000,2024-07-30 20:14:38+00:00,480.0,0.01,0.0,0.0,0.0,0.0,23.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00480000,2024-07-30 17:44:30+00:00,480.0,61.38,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00481000,2024-07-30 17:40:44+00:00,481.0,0.01,0.0,0.0,0.0,0.0,20.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00481000,2024-07-11 15:18:46+00:00,481.0,79.05,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00482000,2024-07-17 13:31:50+00:00,482.0,78.44,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00482000,2024-07-30 18:19:43+00:00,482.0,0.01,0.0,0.0,0.0,0.0,28.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00483000,2024-07-30 18:28:36+00:00,483.0,0.01,0.0,0.0,0.0,0.0,662.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00483000,2024-07-26 14:26:40+00:00,483.0,61.52,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00484000,2024-07-30 20:03:24+00:00,484.0,0.01,0.0,0.0,0.0,0.0,67.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00484000,2024-07-30 19:48:27+00:00,484.0,59.04,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00485000,2024-07-30 19:18:52+00:00,485.0,56.62,0.0,0.0,0.0,0.0,283.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00485000,2024-07-30 19:55:59+00:00,485.0,0.01,0.0,0.0,0.0,0.0,559.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00486000,2024-07-30 19:13:21+00:00,486.0,55.19,0.0,0.0,0.0,0.0,30.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00486000,2024-07-30 20:04:16+00:00,486.0,0.01,0.0,0.0,0.0,0.0,679.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00487000,2024-07-30 19:56:47+00:00,487.0,0.01,0.0,0.0,0.0,0.0,862.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00487000,2024-07-25 18:39:03+00:00,487.0,56.45,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00488000,2024-07-30 19:56:12+00:00,488.0,0.01,0.0,0.0,0.0,0.0,113.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00488000,2024-06-20 14:19:58+00:00,488.0,62.67,61.27,61.63,0.0,0.0,1.0,208,2.4218789453125,True,REGULAR,USD,,
SPY240731P00489000,2024-07-30 19:59:30+00:00,489.0,0.01,0.0,0.0,0.0,0.0,1503.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00489000,2024-07-17 18:07:04+00:00,489.0,69.47,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00490000,2024-07-30 20:13:05+00:00,490.0,0.01,0.0,0.0,0.0,0.0,344.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00490000,2024-07-30 14:42:00+00:00,490.0,54.5,0.0,0.0,0.0,0.0,11.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00491000,2024-06-28 15:15:24+00:00,491.0,59.53,53.56,53.93,0.0,0.0,3.0,16,1.640626796875,True,REGULAR,USD,,
SPY240731P00491000,2024-07-30 17:00:48+00:00,491.0,0.01,0.0,0.0,0.0,0.0,60.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00492000,2024-07-30 20:08:34+00:00,492.0,0.01,0.0,0.0,0.0,0.0,411.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00492000,2024-07-29 18:26:01+00:00,492.0,53.22,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00493000,2024-07-30 17:28:34+00:00,493.0,0.02,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00493000,2024-07-30 16:05:43+00:00,493.0,47.75,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00494000,2024-07-30 16:41:04+00:00,494.0,0.01,0.0,0.0,0.0,0.0,68.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00494000,2024-07-17 13:30:00+00:00,494.0,66.13,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00495000,2024-07-30 20:08:22+00:00,495.0,0.01,0.0,0.0,0.0,0.0,820.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00495000,2024-07-30 13:36:11+00:00,495.0,51.79,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00496000,2024-07-30 19:54:02+00:00,496.0,0.01,0.0,0.0,0.0,0.0,8.0,0,0.2500075,False,REGULAR,USD,,
SPY240731C00496000,2024-07-02 13:52:05+00:00,496.0,51.98,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00497000,2024-07-30 16:26:21+00:00,497.0,0.01,0.0,0.0,0.0,0.0,106.0,0,0.2500075,False,REGULAR,USD,,
SPY240731C00497000,2024-07-05 16:29:16+00:00,497.0,58.75,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00498000,2024-07-29 18:49:49+00:00,498.0,46.91,0.0,0.0,0.0,0.0,12.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00498000,2024-07-30 20:14:54+00:00,498.0,0.02,0.0,0.0,0.0,0.0,37.0,0,0.2500075,False,REGULAR,USD,,
SPY240731P00499000,2024-07-30 19:50:47+00:00,499.0,0.01,0.0,0.0,0.0,0.0,815.0,0,0.2500075,False,REGULAR,USD,,
SPY240731C00499000,2024-07-30 19:50:42+00:00,499.0,44.46,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00500000,2024-07-30 20:02:35+00:00,500.0,0.02,0.0,0.0,0.0,0.0,1127.0,0,0.2500075,False,REGULAR,USD,,
SPY240731C00500000,2024-07-30 19:50:42+00:00,500.0,43.46,0.0,0.0,0.0,0.0,25.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00501000,2024-07-30 19:50:42+00:00,501.0,42.46,0.0,0.0,0.0,0.0,86.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00501000,2024-07-30 19:56:35+00:00,501.0,0.02,0.0,0.0,0.0,0.0,158.0,0,0.2500075,False,REGULAR,USD,,
SPY240731P00502000,2024-07-30 18:36:41+00:00,502.0,0.02,0.0,0.0,0.0,0.0,2397.0,0,0.2500075,False,REGULAR,USD,,
SPY240731C00502000,2024-07-29 18:06:15+00:00,502.0,43.69,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
