Calls,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY240729C00550000,7/26/2024 20:14,550,0.26,0,0,0,0.00%,"60,262","15,482",3.13%
SPY240729C00551000,7/26/2024 20:14,551,0.17,0,0,0,0.00%,"24,401","6,224",6.25%
SPY240729C00552000,7/26/2024 20:14,552,0.1,0,0,0,0.00%,"21,078","9,117",6.25%
SPY240729C00553000,7/26/2024 20:14,553,0.06,0,0,0,0.00%,"16,372","8,161",6.25%
SPY240729C00554000,7/26/2024 20:14,554,0.05,0,0,0,0.00%,"10,015","21,464",6.25%
SPY240729C00555000,7/26/2024 20:14,555,0.04,0,0,0,0.00%,"9,735","7,633",6.25%
SPY240729C00556000,7/26/2024 20:14,556,0.02,0,0,0,0.00%,"14,199","5,816",6.25%
SPY240729C00557000,7/26/2024 20:14,557,0.02,0,0,0,0.00%,"1,303","1,648",12.50%
SPY240729C00558000,7/26/2024 20:09,558,0.02,0,0,0,0.00%,"1,013","2,495",12.50%
SPY240729C00559000,7/26/2024 19:57,559,0.01,0,0,0,0.00%,836,"2,068",12.50%
SPY240729C00560000,7/26/2024 20:13,560,0.01,0,0,0,0.00%,"3,803","3,967",12.50%
SPY240729C00561000,7/26/2024 20:14,561,0.01,0,0,0,0.00%,540,"2,186",12.50%
SPY240729C00562000,7/26/2024 20:07,562,0.01,0,0,0,0.00%,356,"2,334",12.50%
SPY240729C00563000,7/26/2024 20:05,563,0.01,0,0,0,0.00%,128,"1,063",12.50%
SPY240729C00564000,7/26/2024 20:02,564,0.01,0,0,0,0.00%,850,"1,255",12.50%
SPY240729C00565000,7/26/2024 19:57,565,0.01,0,0,0,0.00%,750,"2,352",12.50%
SPY240729C00566000,7/26/2024 19:50,566,0.01,0,0,0,0.00%,"2,130","2,987",12.50%
SPY240729C00567000,7/26/2024 19:55,567,0.01,0,0,0,0.00%,58,"1,367",12.50%
SPY240729C00568000,7/26/2024 19:09,568,0.01,0,0,0,0.00%,64,"1,334",12.50%
SPY240729C00569000,7/26/2024 17:34,569,0.01,0,0,0,0.00%,3,680,25.00%
SPY240729C00570000,7/26/2024 20:04,570,0.01,0,0,0,0.00%,55,"2,414",25.00%
SPY240729C00571000,7/26/2024 13:34,571,0.01,0,0,0,0.00%,3,"1,600",25.00%
SPY240729C00572000,7/25/2024 15:26,572,0.02,0,0,0,0.00%,2,549,25.00%
SPY240729C00573000,7/25/2024 16:14,573,0.01,0,0,0,0.00%,95,486,25.00%
SPY240729C00574000,7/26/2024 17:35,574,0.01,0,0,0,0.00%,30,521,25.00%
SPY240729C00575000,7/26/2024 13:41,575,0.01,0,0,0,0.00%,1,515,25.00%
SPY240729C00576000,7/24/2024 19:22,576,0.02,0,0,0,0.00%,6,35,25.00%
SPY240729C00577000,7/25/2024 19:10,577,0.01,0,0,0,0.00%,2,81,25.00%
SPY240729C00578000,7/25/2024 17:06,578,0.01,0,0,0,0.00%,10,58,25.00%
SPY240729C00579000,7/25/2024 17:14,579,0.01,0,0,0,0.00%,31,180,25.00%
SPY240729C00580000,7/26/2024 16:07,580,0.01,0,0,0,0.00%,5,297,25.00%
SPY240729C00585000,7/25/2024 18:07,585,0.01,0,0,0,0.00%,103,410,25.00%
SPY240729C00590000,7/24/2024 20:12,590,0.01,0,0,0,0.00%,104,160,25.00%
SPY240729C00595000,7/23/2024 15:21,595,0.01,0,0,0,0.00%,1,26,25.00%
SPY240729C00600000,7/18/2024 19:18,600,0.02,0,0,0,0.00%,9,57,50.00%
SPY240729C00605000,7/16/2024 14:40,605,0.02,0,0,0,0.00%,1,1,50.00%
SPY240729C00615000,7/18/2024 16:29,615,0.01,0,0,0,0.00%,500,500,50.00%
SPY240729C00620000,7/16/2024 19:30,620,0.02,0,0,0,0.00%,1,1,50.00%
SPY240729C00625000,7/19/2024 13:33,625,0.01,0,0,0,0.00%,1,2,50.00%
SPY240729C00630000,7/17/2024 17:35,630,0.01,0,0,0,0.00%,853,803,50.00%
SPY240729C00635000,7/17/2024 17:35,635,0.02,0,0,0,0.00%,301,406,50.00%
SPY240729C00640000,7/17/2024 16:59,640,0.01,0,0,0,0.00%,-,100,50.00%
SPY240729C00665000,7/26/2024 20:03,665,0.01,0,0,0,0.00%,11,11,50.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY240729P00460000,7/26/2024 17:38,460,0.01,0,0,0,0.00%,5,"4,095",50.00%
SPY240729P00465000,7/25/2024 19:32,465,0.01,0,0,0,0.00%,55,206,50.00%
SPY240729P00470000,7/25/2024 20:07,470,0.02,0,0,0,0.00%,28,"2,594",50.00%
SPY240729P00475000,7/25/2024 20:09,475,0.02,0,0,0,0.00%,553,529,50.00%
SPY240729P00479000,7/26/2024 19:50,479,0.01,0,0,0,0.00%,3,240,50.00%
SPY240729P00480000,7/26/2024 19:56,480,0.01,0,0,0,0.00%,119,680,50.00%
SPY240729P00481000,7/26/2024 19:56,481,0.01,0,0,0,0.00%,48,367,50.00%
SPY240729P00482000,7/26/2024 19:53,482,0.01,0,0,0,0.00%,513,818,50.00%
SPY240729P00483000,7/26/2024 19:46,483,0.01,0,0,0,0.00%,140,490,50.00%
SPY240729P00484000,7/26/2024 15:32,484,0.01,0,0,0,0.00%,128,866,50.00%
SPY240729P00485000,7/26/2024 14:14,485,0.01,0,0,0,0.00%,228,769,50.00%
SPY240729P00486000,7/26/2024 14:27,486,0.01,0,0,0,0.00%,582,815,50.00%
SPY240729P00487000,7/26/2024 19:59,487,0.01,0,0,0,0.00%,56,139,50.00%
SPY240729P00488000,7/26/2024 20:14,488,0.01,0,0,0,0.00%,135,389,50.00%
SPY240729P00489000,7/26/2024 20:14,489,0.01,0,0,0,0.00%,"1,725","2,411",50.00%
SPY240729P00490000,7/26/2024 20:01,490,0.01,0,0,0,0.00%,437,440,50.00%
SPY240729P00491000,7/26/2024 17:42,491,0.01,0,0,0,0.00%,40,83,50.00%
SPY240729P00492000,7/26/2024 15:04,492,0.01,0,0,0,0.00%,5,252,50.00%
SPY240729P00493000,7/26/2024 14:17,493,0.02,0,0,0,0.00%,14,127,50.00%
SPY240729P00494000,7/26/2024 20:02,494,0.01,0,0,0,0.00%,707,693,50.00%
SPY240729P00495000,7/26/2024 14:22,495,0.02,0,0,0,0.00%,14,224,50.00%
SPY240729P00496000,7/26/2024 14:14,496,0.02,0,0,0,0.00%,32,543,50.00%
SPY240729P00497000,7/26/2024 19:56,497,0.02,0,0,0,0.00%,80,488,50.00%
SPY240729P00498000,7/26/2024 19:56,498,0.02,0,0,0,0.00%,292,285,50.00%
SPY240729P00499000,7/26/2024 19:26,499,0.02,0,0,0,0.00%,26,86,25.00%
SPY240729P00500000,7/26/2024 19:59,500,0.01,0,0,0,0.00%,569,"1,192",25.00%
SPY240729P00505000,7/26/2024 20:14,505,0.02,0,0,0,0.00%,"2,354","1,868",25.00%
SPY240729P00510000,7/26/2024 20:01,510,0.02,0,0,0,0.00%,"5,894","6,356",25.00%
SPY240729P00515000,7/26/2024 20:01,515,0.03,0,0,0,0.00%,"3,179","1,473",25.00%
SPY240729P00520000,7/26/2024 20:11,520,0.03,0,0,0,0.00%,"3,732","8,864",25.00%
SPY240729P00521000,7/26/2024 20:03,521,0.03,0,0,0,0.00%,632,809,25.00%
SPY240729P00522000,7/26/2024 20:13,522,0.03,0,0,0,0.00%,"1,096","1,149",25.00%
SPY240729P00523000,7/26/2024 20:04,523,0.03,0,0,0,0.00%,"1,327",889,12.50%
SPY240729P00524000,7/26/2024 20:13,524,0.04,0,0,0,0.00%,"3,264","3,223",12.50%
SPY240729P00525000,7/26/2024 20:11,525,0.04,0,0,0,0.00%,"5,281","7,029",12.50%
SPY240729P00526000,7/26/2024 20:09,526,0.04,0,0,0,0.00%,"3,093","2,728",12.50%
SPY240729P00527000,7/26/2024 20:13,527,0.05,0,0,0,0.00%,"6,834","6,666",12.50%
SPY240729P00528000,7/26/2024 20:14,528,0.05,0,0,0,0.00%,"1,988","1,659",12.50%
SPY240729P00529000,7/26/2024 20:14,529,0.06,0,0,0,0.00%,"4,712","3,477",12.50%
SPY240729P00530000,7/26/2024 20:14,530,0.07,0,0,0,0.00%,"15,186","9,296",12.50%
SPY240729P00531000,7/26/2024 20:12,531,0.07,0,0,0,0.00%,"13,429","6,678",12.50%
SPY240729P00532000,7/26/2024 20:14,532,0.08,0,0,0,0.00%,"7,576","3,642",12.50%
SPY240729P00533000,7/26/2024 20:14,533,0.1,0,0,0,0.00%,"8,072","4,295",12.50%
SPY240729P00534000,7/26/2024 20:14,534,0.12,0,0,0,0.00%,"13,277","4,646",12.50%
SPY240729P00535000,7/26/2024 20:14,535,0.15,0,0,0,0.00%,"31,509","10,554",6.25%
SPY240729P00536000,7/26/2024 20:14,536,0.19,0,0,0,0.00%,"20,748","5,982",6.25%
SPY240729P00537000,7/26/2024 20:14,537,0.27,0,0,0,0.00%,"23,120","6,530",6.25%
SPY240729P00538000,7/26/2024 20:14,538,0.35,0,0,0,0.00%,"33,998","6,184",6.25%
SPY240729P00539000,7/26/2024 20:14,539,0.46,0,0,0,0.00%,"34,683","6,967",6.25%
SPY240729P00540000,7/26/2024 20:14,540,0.62,0,0,0,0.00%,"93,316","20,431",3.13%
SPY240729P00541000,7/26/2024 20:14,541,0.82,0,0,0,0.00%,"45,722","6,527",3.13%
SPY240729P00542000,7/26/2024 20:14,542,1.09,0,0,0,0.00%,"77,479","9,318",3.13%
SPY240729P00543000,7/26/2024 20:14,543,1.4,0,0,0,0.00%,"99,501","5,886",1.56%
SPY240729P00544000,7/26/2024 20:14,544,1.78,0,0,0,0.00%,"94,322","6,363",0.78%
SPY240729P00545000,7/26/2024 20:14,545,2.24,0,0,0,0.00%,"57,063","6,568",0.01%
SPY240729P00546000,7/26/2024 20:14,546,2.73,0,0,0,0.00%,"22,046","3,343",0.00%
SPY240729P00547000,7/26/2024 20:13,547,3.31,0,0,0,0.00%,"10,895","3,109",0.00%
SPY240729P00548000,7/26/2024 20:14,548,4,0,0,0,0.00%,"3,379","2,329",0.00%
SPY240729P00549000,7/26/2024 20:14,549,4.69,0,0,0,0.00%,"1,820","2,155",0.00%
SPY240729P00550000,7/26/2024 20:14,550,5.73,0,0,0,0.00%,"2,024","1,004",0.00%
SPY240729P00551000,7/26/2024 20:10,551,6.61,0,0,0,0.00%,407,277,0.00%
SPY240729P00552000,7/26/2024 19:59,552,8.17,0,0,0,0.00%,197,213,0.00%
SPY240729P00553000,7/26/2024 19:42,553,9.3,0,0,0,0.00%,395,106,0.00%
SPY240729P00554000,7/26/2024 19:57,554,10.6,0,0,0,0.00%,341,"4,187",0.00%
SPY240729P00555000,7/26/2024 20:07,555,10.58,0,0,0,0.00%,205,258,0.00%
SPY240729P00556000,7/26/2024 19:50,556,11.83,0,0,0,0.00%,168,135,0.00%
SPY240729P00557000,7/26/2024 18:41,557,13.07,0,0,0,0.00%,126,0,0.00%
SPY240729P00558000,7/26/2024 17:45,558,13,0,0,0,0.00%,219,1,0.00%
SPY240729P00559000,7/26/2024 18:59,559,15.38,0,0,0,0.00%,12,29,0.00%
SPY240729P00560000,7/26/2024 14:01,560,16.5,0,0,0,0.00%,4,2,0.00%
SPY240729P00561000,7/26/2024 18:36,561,16.29,0,0,0,0.00%,1,49,0.00%
SPY240729P00562000,7/26/2024 17:50,562,17.43,0,0,0,0.00%,20,26,0.00%
SPY240729P00563000,7/26/2024 13:59,563,20.3,0,0,0,0.00%,1,0,0.00%
SPY240729P00564000,7/26/2024 16:29,564,18.21,0,0,0,0.00%,6,9,0.00%
SPY240729P00565000,7/26/2024 17:50,565,20.43,0,0,0,0.00%,20,24,0.00%
SPY240729P00566000,7/25/2024 18:40,566,23.14,0,0,0,0.00%,12,3,0.00%
SPY240729P00567000,7/18/2024 19:59,567,14.71,0,0,0,0.00%,32,1,0.00%
SPY240729P00568000,7/18/2024 19:35,568,16.41,0,0,0,0.00%,3,0,0.00%
SPY240729P00569000,7/26/2024 15:53,569,24.66,0,0,0,0.00%,4,3,0.00%
SPY240729P00570000,7/26/2024 14:36,570,27.73,0,0,0,0.00%,20,0,0.00%
SPY240729P00571000,7/19/2024 20:09,571,22.61,0,0,0,0.00%,2,0,0.00%
SPY240729P00574000,7/26/2024 14:04,574,30.55,0,0,0,0.00%,2,0,0.00%
SPY240729P00575000,7/25/2024 20:11,575,36.46,0,0,0,0.00%,1,2,0.00%
SPY240729P00576000,7/26/2024 15:54,576,31.54,0,0,0,0.00%,1,1,0.00%
SPY240729P00580000,7/18/2024 19:59,580,27.3,0,0,0,0.00%,45,0,0.00%
SPY240729P00585000,7/17/2024 13:30,585,26.12,0,0,0,0.00%,-,0,0.00%
SPY240729P00610000,7/15/2024 19:42,610,48.65,0,0,0,0.00%,2,0,0.00%
SPY240729P00630000,7/17/2024 17:35,630,72.15,0,0,0,0.00%,-,0,0.00%
